iShares Core S&P 500 ETF
Fund Holdings as of,"May 07, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,108,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CB","CHUBB","Financials","Equity","1,512,855,151.36","0.19","1,512,855,151.36","4,708,837.00","321.28","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,500,414,147.36","0.18","1,500,414,147.36","21,732,534.00","69.04","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,485,310,675.50","0.18","1,485,310,675.50","7,587,794.00","195.75","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,483,016,512.50","0.18","1,483,016,512.50","26,364,738.00","56.25","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","1,465,452,611.04","0.18","1,465,452,611.04","3,602,568.00","406.78","United States","NASDAQ","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,449,277,508.43","0.18","1,449,277,508.43","1,930,491.00","750.73","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,449,174,092.65","0.18","1,449,174,092.65","1,634,069.00","886.85","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,438,853,969.28","0.18","1,438,853,969.28","16,470,398.00","87.36","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,435,377,503.09","0.18","1,435,377,503.09","7,965,911.00","180.19","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,430,751,226.98","0.18","1,430,751,226.98","8,145,003.00","175.66","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","1,414,665,746.88","0.17","1,414,665,746.88","5,190,672.00","272.54","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,397,538,550.00","0.17","1,397,538,550.00","3,288,326.00","425.00","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,363,214,186.68","0.17","1,363,214,186.68","5,314,468.00","256.51","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","1,356,920,853.52","0.17","1,356,920,853.52","1,272,002.00","1,066.76","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,346,195,453.24","0.17","1,346,195,453.24","2,865,404.00","469.81","United States","NYSE","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,343,138,315.38","0.16","1,343,138,315.38","2,621,218.00","512.41","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","1,339,112,755.30","0.16","1,339,112,755.30","4,668,338.00","286.85","United States","NASDAQ","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,317,609,245.16","0.16","1,317,609,245.16","14,255,212.00","92.43","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,311,956,564.27","0.16","1,311,956,564.27","4,458,949.00","294.23","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,293,922,389.60","0.16","1,293,922,389.60","16,597,260.00","77.96","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,267,379,308.16","0.16","1,267,379,308.16","13,541,824.00","93.59","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1,257,714,172.40","0.15","1,257,714,172.40","3,523,996.00","356.90","United States","NASDAQ","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,257,166,435.74","0.15","1,257,166,435.74","10,067,802.00","124.87","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,255,825,853.04","0.15","1,255,825,853.04","4,034,393.00","311.28","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","1,251,297,027.96","0.15","1,251,297,027.96","2,476,884.00","505.19","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","1,221,504,331.52","0.15","1,221,504,331.52","1,788,754.00","682.88","United States","NYSE","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,219,016,172.16","0.15","1,219,016,172.16","46,456,409.00","26.24","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,196,824,441.52","0.15","1,196,824,441.52","1,585,702.00","754.76","United States","NYSE","USD","1.00","USD","-"
